newspaper_event_id,short_description,newspaper_text,activation_boolean,follow_newspaper_id,follow_newspaper_time_break,probability,typ,spezial_date
15,Schwere Überschwemmungen in Wales,"Starke Regenfälle haben in Wales zu schweren Überschwemmungen geführt. Zahlreiche Dörfer sind von den Fluten betroffen, und viele Häuser wurden zerstört. Rettungsdienste sind im Einsatz, um Menschen aus den gefährdeten Gebieten zu evakuieren. Der Schaden an der Infrastruktur ist erheblich, und die Behörden haben mitgeteilt, dass der Wiederaufbau der betroffenen Gebiete Wochen dauern könnte. Die Bevölkerung wird aufgerufen, sich in Sicherheit zu bringen und keine Reisen in die betroffenen Gebiete zu unternehmen.",True,,,2.0,Infos um die Königsfamilie,25.08
17,Erster dampfbetriebener Omnibus in London,"Ein neuer dampfbetriebener Omnibus wurde erfolgreich auf Londons Straßen getestet. Das Fahrzeug, das eine völlig neue Art der Personenbeförderung darstellt, soll künftig die Straßen von London entlasten und den Verkehr revolutionieren. Das innovative Transportmittel wurde von mehreren prominenten Persönlichkeiten aus der Wirtschaft und Politik gefeiert. Der Omnibus soll in den kommenden Wochen in regulären Betrieb gehen.",True,,,3.0,Wirtschaft,10.09
19,Schmugglerring in Dover ausgehoben,"Die Zollbehörden haben einen groß angelegten Schmugglerring in Dover zerschlagen. Bei einer Razzia wurden mehrere Verdächtige festgenommen und große Mengen illegaler Waren sichergestellt. Die Schmuggler hatten das Ziel, Waren wie Alkohol und Tabak ohne die fälligen Zölle ins Land zu bringen. Die Festnahmen wurden von der Polizei als wichtigen Erfolg im Kampf gegen den illegalen Handel bezeichnet.",True,,,3.0,Einbruch,05.10
21,Skandal um hochrangigen Politiker,"Ein ranghoher Minister gerät unter Druck, nachdem geheime Dokumente an die Presse durchgesickert sind. Die Dokumente enthalten brisante Informationen, die möglicherweise die nationale Sicherheit betreffen. Der Minister hat bisher keine Stellungnahme abgegeben, aber die Opposition fordert seinen Rücktritt. Der Skandal sorgt für Turbulenzen in der Regierung, und Experten warnen vor den möglichen politischen Konsequenzen.",True,,,3.0,Infos um die Königsfamilie,12.11
22,Neue Kanalverbindung geplant,"Die Regierung hat den Bau eines neuen Kanals angekündigt, der die Handelsverbindungen zwischen London und Birmingham verbessern soll. Das Projekt, das mit hohen Investitionen verbunden ist, soll den Transport von Gütern deutlich erleichtern und die Wirtschaft der beiden Städte stärken. Der Kanal wird voraussichtlich eine Länge von 80 Kilometern haben und auch die Schifffahrt für den internationalen Handel ankurbeln. Kritiker warnen jedoch vor den potenziellen Umweltfolgen, da ein solcher Eingriff in die Natur auch negative Auswirkungen haben könnte.",False,,,3.0,Wirtschaft,20.11
23,Brand in der Nationalbibliothek,"Ein Feuer in der Nationalbibliothek zerstörte wertvolle Manuskripte. Die Flammen brachen in den späten Nachtstunden aus und zerstörten große Teile der historischen Sammlung. Feuerwehrleute kämpften mehrere Stunden gegen das Feuer, konnten jedoch nicht verhindern, dass einige der ältesten und bedeutendsten Werke in Flammen aufgingen. Die Ursache des Feuers wird derzeit untersucht, und es wird befürchtet, dass es sich um Brandstiftung handelt. Experten sind besorgt über den Verlust von unvergleichbarem kulturellen Erbe.",True,,,3.0,Einbruch,30.11
24,Ungewöhnlicher Meteoriteneinschlag in Cornwall,"Ein Meteor schlug in der Nähe eines Bauernhofs in Cornwall ein. Der Einschlag ereignete sich in den frühen Morgenstunden und hinterließ einen großen Krater im Boden. Glücklicherweise gab es keine Verletzten, doch der Vorfall hat großes Aufsehen erregt. Wissenschaftler sind vor Ort, um den Meteoriten zu untersuchen, der aus einem bisher unbekannten Material zu bestehen scheint. Dieser Einschlag hat viele in der Region neugierig gemacht und es gibt bereits Gerüchte, dass es sich um ein ungewöhnliches Phänomen handeln könnte.",False,,,2.0,Infos um die Königsfamilie,05.12
26,Geistererscheinungen im alten Herrenhaus?,"Ein altes Herrenhaus in Dorset sorgt für Aufsehen, nachdem mehrere Bewohner von seltsamen Erscheinungen berichten. Zeugen berichten von mysteriösen Geräuschen, die in den Nächten durch die Flure hallen, sowie von Schatten, die sich selbst bei geschlossenen Türen bewegen. Einige Anwohner vermuten, dass es sich um übernatürliche Ereignisse handelt, während Skeptiker auf natürliche Erklärungen wie Schimmel oder alte Rohre hinweisen. Das Herrenhaus, das einst im Besitz einer adeligen Familie war, hat eine dunkle Geschichte, die von geheimen Treffen und dramatischen Ereignissen geprägt ist.",False,,,1.0,Veranstaltung,18.12
27,Revolutionäre Erfindung in der Medizin,"Ein Arzt aus Edinburgh hat eine neue Methode zur Wunddesinfektion entwickelt. Die Erfindung soll die Sterblichkeitsrate nach chirurgischen Eingriffen erheblich senken. Der Arzt, Dr. James McAlister, hat ein Verfahren entwickelt, das eine spezielle Mischung aus chemischen Substanzen verwendet, die Wunden vor Infektionen schützt und deren Heilung fördert. Die medizinische Gemeinschaft ist begeistert von dieser bahnbrechenden Entdeckung, die das Potenzial hat, die gesamte Praxis der Chirurgie zu revolutionieren.",True,,,3.0,Wirtschaft,22.12
28,Rätselhafter Mord in Whitechapel,"Ein wohlhabender Geschäftsmann wurde in einer dunklen Gasse von Whitechapel tot aufgefunden. Der Mord, der in der Nacht verübt wurde, hinterließ nur wenige Spuren, was die Ermittlungen erschwert. Die Polizei geht derzeit davon aus, dass der Geschäftsmann das Opfer eines Raubübergriffs wurde, doch es gibt auch Hinweise darauf, dass die Tat von jemandem begangen wurde, der dem Opfer nahe stand. Die Gerüchte über den Mord haben die Bewohner von Whitechapel in Aufregung versetzt, und es wird spekuliert, dass der Fall mit weiteren ungelösten Verbrechen in der Gegend in Verbindung stehen könnte.",True,,,3.0,Einbruch,27.12
30,Dampfschiff explodiert im Hafen von Liverpool,"Ein mit Kohle beladenes Dampfschiff explodierte im Hafen von Liverpool, wodurch mehrere Arbeiter ums Leben kamen. Das Unglück ereignete sich bei einem Ladevorgang, als eine plötzliche Explosion das Schiff in die Luft jagte. Zahlreiche Rettungskräfte sind vor Ort, um nach Überlebenden zu suchen, doch die Explosion hat bereits erhebliche Schäden an den benachbarten Docks angerichtet. Die Ursache der Explosion ist noch unklar, doch erste Untersuchungen deuten darauf hin, dass technische Mängel am Dampfkessel des Schiffes verantwortlich sein könnten. Die Behörden haben eine umfassende Untersuchung eingeleitet.",True,,,3.0,Einbruch,30.12
32,Anschlag auf Minister verhindert,"Die Polizei konnte einen geplanten Anschlag auf einen hochrangigen Minister vereiteln. Drei Verdächtige wurden festgenommen, während die Hintergründe der Tat noch unklar sind.",True,,,3.0,Infos um die Königsfamilie,02.05
33,Erstes Telefonat zwischen London und Edinburgh,Techniker führten erfolgreich das erste Telefonat zwischen London und Edinburgh durch. Experten sprechen von einem Meilenstein in der Telekommunikation.,False,,,3.0,Wirtschaft,05.05
34,Schwere Dürre in Nordengland,Wochenlange Trockenheit hat in Nordengland zu schweren Ernteausfällen geführt. Die Regierung erwägt Maßnahmen zur Unterstützung betroffener Bauern.,True,,,2.0,Infos um die Königsfamilie,10.05
35,Diebstahl in der königlichen Kunstgalerie,Unbekannte Diebe haben sich Zugang zur königlichen Kunstgalerie verschafft und ein wertvolles Gemälde entwendet. Die Ermittlungen laufen auf Hochtouren.,True,36.0,3.0,3.0,Einbruch,12.05
36,Gestohlenes Gemälde in Lagerhaus entdeckt,Das vor wenigen Tagen gestohlene Gemälde aus der königlichen Kunstgalerie wurde in einem verlassenen Lagerhaus gefunden. Die Täter sind weiterhin flüchtig.,False,,,0.0,Einbruch,16.05
37,Sichtung in Schottland?,"Mehrere Bewohner eines schottischen Dorfes behaupten, ein fliegendes Objekt mit heller Beleuchtung gesehen zu haben. Wissenschaftler führen das Phänomen auf atmosphärische Störungen zurück.",False,,,1.0,Infos um die Königsfamilie,20.05
38,Erster Frauenclub in London gegründet,Eine Gruppe engagierter Damen hat den ersten Club für Frauen in London ins Leben gerufen. Dort soll über politische und soziale Themen diskutiert werden – sehr zum Missfallen konservativer Kreise.,False,,,3.0,Gesellschaft,25.05
39,Eisenbahnarbeiter streiken für bessere Löhne,Tausende Eisenbahnarbeiter legten ihre Arbeit nieder und fordern höhere Löhne sowie bessere Arbeitsbedingungen. Die Regierung zeigt sich bislang unnachgiebig.,True,,,3.0,Demonstrationen,28.05
40,Sensationsfund: Antikes Skelett entdeckt,Bauarbeiter stießen bei Grabungen in Bath auf ein erstaunlich gut erhaltenes menschliches Skelett. Historiker spekulieren über die Herkunft der Überreste.,False,,,2.0,Wirtschaft,01.06
41,Großbrand in Londoner Textilfabrik,"Ein verheerender Brand zerstörte eine große Textilfabrik in Londons Osten. Hunderte Arbeiter stehen vor dem Nichts, während die Polizei Brandstiftung nicht ausschließt.",True,,,3.0,Einbruch,04.06
42,Erste Dampfautomobile im Testbetrieb,"Ein findiger Erfinder aus Manchester hat einen dampfbetriebenen Wagen entwickelt, der bald die Kutsche ersetzen könnte. Erste Tests verliefen vielversprechend.",False,,,3.0,Wirtschaft,08.06
43,Riesiges Walfossil vor Küste entdeckt,"Fischer fanden vor der Küste von Brighton die Überreste eines riesigen Walskeletts. Forscher reisen an, um das prähistorische Fossil zu untersuchen.",False,,,2.0,Infos um die Königsfamilie,12.06
44,Mysteriöses Verschwinden einer Adligen,Die Tochter eines angesehenen Lords verschwand spurlos auf dem Heimweg von einer Abendgesellschaft. Spekulationen über eine Entführung oder eine heimliche Flucht kursieren in der Londoner Gesellschaft.,True,,,3.0,Gesellschaft,15.06
45,Jahrmarkt in Manchester mit neuer Attraktion,Ein fahrendes Theater präsentiert auf dem diesjährigen Jahrmarkt in Manchester ein einzigartiges Steampunk-Spektakel. Besucher sind begeistert von den mechanischen Marionetten.,False,,,2.0,Veranstaltung,18.06
46,Historische Postkutsche entdeckt,"Ein Landwirt entdeckte eine alte Postkutsche, die offenbar seit Jahrzehnten in einem Wald verborgen lag. Archäologen untersuchen den Fund, der als Relikt aus Napoleons Zeiten gilt.",False,,,2.0,Wirtschaft,22.06
47,Bürgermeister von York wegen Korruption verhaftet,Der Bürgermeister von York wurde wegen Korruptionsvorwürfen festgenommen. Er soll öffentliche Gelder veruntreut haben.,True,,,3.0,Infos um die Königsfamilie,25.06
48,Neuer Anbau von Tee in Cornwall,"Ein Landbesitzer hat mit dem Anbau von Tee in Cornwall begonnen – ein kühnes Experiment, das britische Handelswege revolutionieren könnte.",False,,,2.0,Wirtschaft,28.06
49,Spukgeschichten rund um altes Kloster,"Ein verlassenes Kloster in Nordengland sorgt für Schlagzeilen, nachdem mehrere Wanderer von unerklärlichen Erscheinungen berichteten.",False,,,1.0,Gesellschaft,01.07
50,Straßenbahnprojekt in Birmingham genehmigt,Die Stadtverwaltung hat den Bau einer dampfbetriebenen Straßenbahn genehmigt. Die ersten Linien sollen innerhalb der nächsten fünf Jahre entstehen.,True,,,3.0,Wirtschaft,04.07
51,Mechanischer Butler sorgt für Aufsehen,"Ein Erfinder in London hat einen mechanischen Butler vorgestellt, der einfache Aufgaben erledigen kann. Die Aristokratie zeigt großes Interesse an der neuartigen Technik.",False,,,3.0,Wirtschaft,08.07
52,Hochwasser in Wales,Heftige Regenfälle haben in Teilen von Wales zu Überschwemmungen geführt. Viele Bewohner mussten ihre Häuser verlassen.,True,,,2.0,Gesellschaft,12.07
53,Geheimnisvolles Artefakt in Londoner Keller gefunden,"Bei Renovierungsarbeiten in einem alten Stadthaus wurde ein versiegeltes Metallgehäuse entdeckt, dessen Ursprung unklar ist.",False,,,2.0,Wirtschaft,15.07
54,Explosion in Londoner Chemiefabrik,"Eine gewaltige Explosion erschütterte das Industrieviertel von London. In einer Chemiefabrik kam es zu einem Unfall, der mehrere Arbeiter das Leben kostete. Ermittlungen laufen.",True,,,3.0,Einbruch,01.02
55,Skandal: Adliger wegen Spielschulden enteignet,"Ein hochrangiger Adliger verlor sein gesamtes Vermögen durch exzessive Glücksspiele. Sein Anwesen wurde beschlagnahmt, und seine Familie steht vor dem finanziellen Ruin.",False,,,2.0,Gesellschaft,02.09
56,Neue Kanalverbindung zwischen London und Bristol geplant,Die Regierung kündigte ein ehrgeiziges Infrastrukturprojekt an: Ein neuer Kanal soll die Handelsrouten zwischen London und Bristol verkürzen.,True,,,3.0,Wirtschaft,23.12
57,Wagenrennen in Hyde Park begeistert Zuschauer,"Ein illegales Pferderennen zog zahlreiche Zuschauer in den Hyde Park. Die Polizei ließ die Teilnehmer laufen, doch die Behörden erwägen härtere Maßnahmen gegen solche Veranstaltungen.",False,,,2.0,Veranstaltung,14.04
58,Neues Dampfschiff überquert den Ärmelkanal,Ein neu entwickeltes Dampfschiff bewältigte erstmals die Überquerung des Ärmelkanals in Rekordzeit. Experten sehen darin eine Revolution für den internationalen Handel.,False,,,3.0,Wirtschaft,07.01
59,Großes Feuer in Edinburghs Altstadt,Ein verheerendes Feuer zerstörte mehrere historische Gebäude in Edinburghs Altstadt. Die Feuerwehr kämpfte stundenlang gegen die Flammen.,True,,,3.0,Einbruch,16.06
60,Geheimbund in London entdeckt?,In einem Kellergewölbe wurden geheime Treffen einer mysteriösen Organisation beobachtet. Die Polizei untersucht mögliche Verbindungen zu politischen Unruhen.,True,,,2.0,Infos um die Königsfamilie,26.05
61,Erster Wetterballon erfolgreich gestartet,"Wissenschaftler in Cambridge ließen einen Wetterballon steigen, um Windströme in höheren Luftschichten zu erforschen – ein bahnbrechender Fortschritt für die Meteorologie.",False,,,2.0,Wirtschaft,26.12
62,Berüchtigter Dieb in London gefasst,Nach monatelanger Flucht wurde der berüchtigte Juwelendieb 'Der Schatten von Soho' endlich gefasst. Er soll für zahlreiche spektakuläre Diebstähle verantwortlich sein.,True,,,3.0,Einbruch,02.11
63,Neues Waisenhaus in Liverpool eröffnet,Dank großzügiger Spenden konnte in Liverpool ein neues Waisenhaus errichtet werden. Die Einrichtung soll obdachlosen Kindern eine Zukunft bieten.,False,,,2.0,Gesellschaft,14.03
64,Brutaler Straßenkampf in Manchester,"Zwei rivalisierende Banden lieferten sich eine blutige Auseinandersetzung in den Straßen von Manchester. Mehrere Personen wurden verletzt, die Polizei greift hart durch.",True,,,3.0,Einbruch,21.12
65,Berühmter Uhrmacher präsentiert revolutionäre Taschenuhr,"Ein Uhrmacher aus London stellte eine neue Taschenuhr mit selbstaufziehendem Mechanismus vor. Dieses Meisterwerk könnte die Art, wie wir Zeit messen, für immer verändern.",False,,,3.0,Wirtschaft,17.08
66,Königliche Yacht gerät in Sturm,"Die königliche Familie entging nur knapp einer Katastrophe, als ihre Yacht in einen heftigen Sturm geriet. Glücklicherweise konnte das Schiff sicher anlegen.",True,,,3.0,Infos um die Königsfamilie,18.09
67,Neues Theaterstück feiert Premiere in London,Das neueste Stück des berühmten Dramatikers Edward Harrington feierte eine umjubelte Premiere und könnte die Theaterszene revolutionieren.,False,,,2.0,Veranstaltung,22.07
68,Geheimes Treffen von Industriellen in Birmingham,Ein exklusives Treffen einflussreicher Fabrikbesitzer sorgt für Spekulationen über ein mögliches Kartellabkommen.,True,,,2.0,Wirtschaft,18.06
69,Schneesturm legt Nordengland lahm,Ein unerwarteter Schneesturm führte zu schweren Verkehrsbehinderungen und Stromausfällen in ganz Nordengland.,True,,,3.0,Infos um die Königsfamilie,18.01
70,Doppelte Hochzeit in königlicher Familie,Gleich zwei Mitglieder der königlichen Familie gaben sich am selben Tag das Ja-Wort. Ganz London feierte die prachtvollen Zeremonien.,False,,,2.0,Infos um die Königsfamilie,01.11
71,Junge Wissenschaftlerin entdeckt neues Element,"Eine brillante Forscherin behauptet, ein bislang unbekanntes chemisches Element isoliert zu haben. Falls sich dies bestätigt, könnte es bahnbrechende Auswirkungen haben.",False,,,3.0,Wirtschaft,13.02
72,Riesiger Wal vor der Küste von Brighton gesichtet,"Ein gigantischer Wal wurde von Fischern vor der Küste gesichtet. Experten rätseln, ob es sich um eine seltene Spezies handelt.",False,,,2.0,Infos um die Königsfamilie,14.08
73,Hochrangiger Diplomat unter Spionageverdacht,"Ein hochrangiger Diplomat wird beschuldigt, geheime Informationen an ausländische Mächte weitergegeben zu haben. Die Ermittlungen laufen auf Hochtouren.",True,,,3.0,Infos um die Königsfamilie,03.07
74,Wunderkind begeistert London mit Klavierkonzert,Ein erst zehnjähriger Pianist sorgt mit seinem außergewöhnlichen Talent für Aufsehen in der Londoner Musikszene.,False,,,2.0,Veranstaltung,22.05
75,Seltene Orchidee in Schottland entdeckt,Botaniker jubeln: Eine äußerst seltene Orchideenart wurde in den schottischen Highlands entdeckt.,False,,,1.0,Infos um die Königsfamilie,22.03
76,Neuer Kanal unter der Themse geplant,"Die Stadtverwaltung plant ein ehrgeiziges Bauprojekt: Einen Tunnel unter der Themse, um den Verkehr zu entlasten.",True,,,3.0,Wirtschaft,27.11
77,Wissenschaftler warnt vor Klimaveränderungen,"Ein angesehener Forscher behauptet, dass der Mensch das Klima beeinflusst. Seine Theorien werden kontrovers diskutiert.",False,,,2.0,Wirtschaft,09.03
78,Revolutionäre Medizin gegen Lungenkrankheiten,Ärzte berichten über vielversprechende Fortschritte in der Behandlung von Lungenkrankheiten durch eine neue Heilmethode.,False,,,3.0,Wirtschaft,02.05
79,Einbruch in der Bank of England erschüttert London,"In der Nacht von Dienstag auf Mittwoch drangen unbekannte Täter in die Bank of England ein. Der Tresor wurde mit Sprengstoff geöffnet, und mehrere wertvolle Sammlungen wurden gestohlen. Augenzeugen berichten von maskierten Tätern, die in einer Pferdekutsche flüchteten.",True,,,3.0,Einbruch,04.08
80,Zweiter Bankraub in London – Polizei tappt im Dunkeln,"Wenige Tage nach dem spektakulären Bankraub wurden zwei weitere Banken im Stadtzentrum ausgeraubt. Die Polizei steht vor einem Rätsel, da keine nennenswerten Spuren hinterlassen wurden.",True,79.0,,2.0,Einbruch,07.07
81,Diebischer Fluch? Der dritte Banküberfall erschüttert die Stadt,In der Nacht zum Sonntag ereignete sich der dritte Bankraub in London innerhalb von zwei Wochen. Diesmal wurde die Royal Bank von England getroffen. Der Täter hinterließ eine mysteriöse Nachricht.,True,80.0,,3.0,Einbruch,21.02
82,Massive Arbeiterproteste in Manchester,"Tausende Arbeiter versammelten sich auf dem Marktplatz in Manchester, um gegen die miserablen Arbeitsbedingungen in den Textilfabriken zu protestieren. Einige berichteten von gewaltsamen Zusammenstößen mit der Polizei.",True,,,3.0,Demonstrationen,26.03
83,Forderungen nach besseren Arbeitsbedingungen werden laut,"Die Demonstranten fordern die Einführung von Arbeitszeitbegrenzungen und besseren Löhnen. Es gab Spekulationen, dass einige der Arbeiter von politischen Aktivisten beeinflusst wurden.",True,82.0,,2.0,Demonstrationen,29.03
84,Protest eskaliert: Arbeiter fordern den Rücktritt von Fabrikbesitzern,"Die Proteste in Manchester eskalierten, als Arbeiter begannen, die Türen der Fabriken zu blockieren. Es gibt Berichte über vereitelte Verhandlungen mit den Fabrikbesitzern.",True,83.0,,3.0,Demonstrationen,01.04
85,Die Königin erwartet ein weiteres Kind!,"Mit Freude wurde bekannt gegeben, dass die Königin erneut schwanger ist. Das königliche Paar erwartet sein fünftes Kind. Palastangestellte bestätigen, dass die Schwangerschaft gut verläuft.",True,,,3.0,Infos um die Königsfamilie,11.04
86,Königlicher Nachwuchs: Junge Prinzessin erwartet,"Es wurde bestätigt, dass das königliche Kind ein Mädchen wird. Die Bevölkerung fiebert bereits dem Moment entgegen, in dem die kleine Prinzessin das Licht der Welt erblickt.",True,85.0,,2.0,Infos um die Königsfamilie,12.04
87,Geburt der Prinzessin – Land feiert,"Heute Morgen wurde die Prinzessin in den königlichen Palast geboren. Tausende Menschen versammelten sich, um den königlichen Nachwuchs zu feiern. Das Land ist in festlicher Stimmung.",True,86.0,,3.0,Infos um die Königsfamilie,14.04
88,Der Jahrmarkt in York öffnet seine Tore,"Der traditionelle Jahrmarkt in York wurde heute mit einem großen Festzug eröffnet. Hunderte von Besuchern strömten zu den Ständen, um sich den bunten Treiben hinzugeben.",True,,,2.0,Veranstaltung,18.04
89,Über 100.000 Besucher auf dem Jahrmarkt erwartet,"Der Jahrmarkt in York hat einen Rekordbesuch verzeichnet, und es wird erwartet, dass mehr als 100.000 Menschen die Veranstaltung besuchen. Die Atmosphäre ist voller Energie, und die Schausteller berichten von ausgezeichneten Geschäften.",True,88.0,,3.0,Veranstaltung,22.04
90,Jahrmarkt in York endet mit großem Feuerwerk,"Der Jahrmarkt in York ging gestern mit einem spektakulären Feuerwerk zu Ende. Es war das größte Feuerwerk, das die Stadt je gesehen hat, und die Teilnehmer waren begeistert.",True,89.0,,3.0,Veranstaltung,24.04
-1,Wirtschaftsmanipulation in London – Verdacht auf geheime Verschwörung,"In London wird derzeit eine groß angelegte Wirtschaftskrise untersucht, die möglicherweise auf geheimen Verschwörungen innerhalb der Finanzwelt basiert. Experten sprechen von einer gezielten Manipulation des Marktes durch unbekannte Akteure.",True,,,3.0,Wirtschaft,26.04
-1,Gerüchte um mysteriösen Einbruch in Londons größte Bank,"In der vergangenen Nacht ereignete sich ein spektakulärer Einbruch in die größte Bank Londons. Die Täter entwendeten nicht nur Geld, sondern auch vertrauliche Dokumente, die nun von der Polizei untersucht werden. Experten vermuten, dass dies Teil einer größeren Verschwörung ist.",True,79.0,2.0,2.0,Einbruch,27.04
-1,Politische Demonstrationen gegen Finanzelite nehmen zu,"Die Unzufriedenheit mit der Wirtschaftssituation wächst. Tausende versammelten sich heute vor dem Parlament und forderten Reformen in der Finanzwelt. Aktivisten behaupten, dass eine geheime Verschwörung der Finanzelite für die Krise verantwortlich sei.",True,80.0,3.0,3.0,Demonstrationen,28.04
-1,Polizei verhaftet verdächtige Banker in Zusammenhang mit Verschwörung,"Nach intensiven Ermittlungen wurden mehrere Banker wegen ihrer mutmaßlichen Beteiligung an der geheimen Verschwörung verhaftet. Die Polizei ermittelt weiter, ob sie Teil eines internationalen Netzwerks sind, das die Finanzmärkte manipuliert.",True,81.0,2.0,3.0,Wirtschaft,07.05
-1,Enthüllung eines Skandals – Verantwortliche der Finanzwelt unter Verdacht,"Die Ermittlungen haben nun bestätigt, dass eine Gruppe von führenden Finanzberatern hinter der Verschwörung steckt. Die Öffentlichkeit ist erschüttert, und viele fordern eine vollständige Offenlegung der Verantwortlichen.",True,82.0,3.0,3.0,Wirtschaft,08.05
